indicator_code,definition,guidance
001001001001,公司取得ISO 14001环境管理体系认证的情况,"企业需要取得ISO 14001或GB/T 24001环境管理体系的认证。报告中可能出现的披露形式：明确说明取得了认证、给出取得的认证图片或截图、通过了相关机构审核等。
注意：
1. 仅提到执行/应用ISO 14001或GB/T 24001的管理标准不可接受，须通过相关机构的认证。"
001001001002,公司取得EMAS环境管理体系认证的情况,"企业需要取得EMAS环境管理体系的认证。报告中可能出现的披露形式：明确说明取得了认证、给出取得的认证图片或截图、通过了相关机构审核等。
注意：
1. 仅提到执行/应用EMAS的管理标准不可接受，须通过相关机构的认证。"
001001002,公司在生产运营过程中采用环保创新技术的情况，如导入减少污染物排放的创新技术,"企业需要披露在生产运营流程中采用的环保创新技术及所带来的改变/改进。一般来说需要企业至少要披露在生产运营中什么环节采取了什么技术从而减少了哪方面的环境影响。仅简单提到例如“通过技术升级减少了污染排放“等不可接受。
注意：
1. ”创新技术“可以包括自主开发，新技术引进，对成熟的技术进行升级等
2.  需强调是在企业自身的生产制造及运营过程中采取的环保创新的技术，而非对于产品本身性质的升级。
内容较多的时候摘录关键信息（采用的技术、得到的效果）即可。"
001001003,公司产品在设计阶段的支持环保、可持续发展等方面的表现情况,"企业需要通过对于产品本身性质的改造减少产品在生命周期中（上游原材料生产及采购、产品设计和生产、产品包装和分销、产品使用和维护、产品废弃和重复利用）对环境的影响。
一般有两种情况：一是推出对环境影响更小的产品的版本，例如节能电器、采用环保材料的家具等等；二是说明在产品开发过程中就考虑了产品生命周期中各个阶段可能对环境造成的影响，并将分析的结果应用在产品开发设计当中，例如采用了产品生命周期环境影响评估（Lifecycle Assessment, LCA）。
注意：
1. 绿色金融相关的产品不属于产品可持续设计。"
001001005,[2020年度数据起停止维护]公司在提升员工环境意识方面的表现,
001001005001,公司为培养员工环境意识而提供的培训,"企业为了增强员工的环保意识而为全体或部分员工提供的定期或非定期的环保培训，宣传和讲座等。
注意：
1. 培训对象需要为普通员工，对企业环境职能部门的专业培训不可接受。"
001001005002,公司为培养员工环境意识而发出的倡议或组织的活动,"企业需为了增强员工的环保意识而针对员工自发的环保倡议或活动。例如鼓励员工参加“地球一小时”“绿色低碳日”等活动、提倡并监督员工离开座位关闭电脑显示屏下班时间切断插座电源等。
注意：
1. 员工环保倡议是针对于员工的，意在鼓励员工对于环保活动的参与。"
001001006,公司制定的针对办公活动的相关环保行动或环保规程,"绿色办公主要指办公活动中节约资源、减少污染物产生和排放，并使用可回收利用的产品。
绿色办公可包括但不仅限于：
1. 制定了绿色办公相关程序文件或政策文件，所披露的文件信息应能展现具体绿色规定，如对节约用水用电的具体措施办法。 
2. 对办公大楼中的空调及照明器具进行改造，使其增加能源效率。（如通过空调或照明改造，使得当年的用电量下降了xx%）
3. 通过线上会议减少因交通往返所造成的温室气体排放。
4. 资源分类和回收再利用管理，如垃圾分类，可回收废弃物统一回收处理等。
5. 推广无纸化办公，如：引入新式电子看板取代传统的宣传模式，纸张双面重复利用等"
001001007,公司内针对环境保护的委员会或工作小组的设置情况,企业设置专门的环保委员会或环保工作组，又或职能覆盖了环境方面问题的EHS，ESG等部门均可。
001001008,公司被国家生态环境部门列入重点排污单位的情况,
001001009,公司开展的在产品使用寿命结束时收集、重复利用或回收产品整体或其部件或包装的项目,"企业需披露自发开展的,并且是一个长期,而非一次性或短期废旧产品回收项目。
注意：
1. 回收的是企业自己生产的产品，如果企业业务本身是回收利用市场上的废旧产品，则不符合摘录要求。
2. 废旧产品指的是寿命结束时的售出产品(用于销售或作为组织所提供服务的一部分的物品或物质) 。废旧产品列举: 如电动汽车中的电池,食用过的饮料瓶,废旧家电或收集等的回收等)。排除被拒和召回的产品。
3. 回收活动收集和处理可由产品制造商或承包商进行。"
001001010,公司被国家工信部列为绿色工厂的情况,
001001011,公司针对突发环境风险事件建立的应急响应机制,"企业需要披露其针对环境风险及突发事件建立的环境应急响应机制（预案）。
注意：
1. 这里的响应机制是针对突发事件，特别是ESG相关的重大灾难事件的，且必须是长期建立的而不是在发生某个事件后临时组建的应急管理部门。
2. 一般环境应急预案披露内容可包括但不仅限于：相关机制的文件名称，配备的物资情况，以及演练情况。"
001001012,公司针对环境问题开展的风险评估或是尽职调查活动,"企业需评估在运营中可能面对的对环境风险。包括受到的风险影响以及可能造成的风险。例如评估企业生产对周边植被的影响。
注意：
1. 这里不包括供应商环境风险评估，针对供应商的环境风险评估属于“针对供应链环境影响采取的行动“。
2. 需要区分风险评估和风险管理体系，风险评估是指企业进行评估来找出自身在相关方面的风险因素（不提及如何减少风险，只披露识别风险的流程），而风险管理体系是一个架构。如果风险管理体系包括了风险评估（识别）则也满足风险评估的要求。

几乎所有的风险评估都是分为宏观层面和微观层面的。宏观的风险评估可以理解为大型跨国企业的总部针对世界范围内的子企业分析子企业或业务线进行风险评估。微观的风险可以是针对具体的案例，例如某地的工厂进行了环保的风险评估发现制造车间有污染物排放的风险。宏观风险评估优先摘录。"
001002001,公司在污染治理方面的政策、承诺或管理方针,"企业需要披露减少污染物排放的管理方针、政策或承诺。污染物可以包括废气和废水，不包括有害/危险废物（属于废弃物范畴）。SOX, NOX, 化学物质, VOC, 颗粒物等均属于污染物。
注意：
1. 相关的方针要明确地指向减少污染物。
2. 在环境类政策指标点仅提到符合或遵守相关法律法规的要求不可接受。

管理政策类：
包括相关的规定，原则，承诺，实施办法，企业的立场和态度等；长期有效，对于当下和未来有广泛的指导意义；通常在相关章节开头，较为简洁。"
